"","Ethnic group","Applications","Applications.perc","Offers","Offers.perc","type","Population","Population percentage","Offers.rep","Applications.rep","success"
"1","White",26200,78.8919000301114,7227,84.8139889684309,"Detailed",2645470,81.1823325846655,1.04473456561473,0.971786563878719,27.5839694656489
"2","Arab",166,0.499849442938874,24,0.281657082502054,"Detailed",15812,0.485227593897769,0.580463860761792,1.03013400149742,14.4578313253012
"3","Bangladeshi",272,0.819030412526348,35,0.410749911982162,"Detailed",45014,1.38135814012865,0.297352221737303,0.592916774248039,12.8676470588235
"4","Indian",1541,4.64016862390846,246,2.88698509564605,"Detailed",75243,2.30900454386857,1.25031590055216,2.00959700847283,15.9636599610642
"5","Pakistani",539,1.62300511894008,56,0.657199859171459,"Detailed",101631,3.11878102677866,0.210723309372659,0.52039726579216,10.3896103896104
"7","Black African",702,2.11382113821138,109,1.27919258303016,"Detailed",81626,2.50488158231086,0.510679862897971,0.843880666111687,15.5270655270655
"8","Black Caribbean",124,0.373381511592894,31,0.363807064898486,"Detailed",35071,1.07623431226845,0.338037043375497,0.346933290768155,25
"10","Chinese",691,2.08069858476363,131,1.53737824199038,"Detailed",14775,0.453404863384742,3.39074051944127,4.58905219770002,18.9580318379161
"11","Mixed Asian/White",1090,3.28214393255044,295,3.46203497242108,"Detailed",38897,1.1936439235923,2.90039173659259,2.74968427994232,27.0642201834862
"12","Mixed Black African/White",189,0.569105691056911,50,0.586785588545945,"Detailed",18091,0.555163951505473,1.05695909641597,1.02511283290933,26.4550264550265
"13","Mixed Black Caribbean/White",225,0.677506775067751,53,0.621992723858702,"Detailed",55325,1.69777489453542,0.366357593024077,0.399055715365107,23.5555555555556
