"","Ethnic group","Representation Index","type2"
"1","White",0.971786563878719,"Applications"
"2","Arab",1.03013400149742,"Applications"
"3","Bangladeshi",0.592916774248039,"Applications"
"4","Indian",2.00959700847283,"Applications"
"5","Pakistani",0.52039726579216,"Applications"
"7","Black African",0.843880666111687,"Applications"
"8","Black Caribbean",0.346933290768155,"Applications"
"10","Chinese",4.58905219770002,"Applications"
"11","Mixed Asian/White",2.74968427994232,"Applications"
"12","Mixed Black African/White",1.02511283290933,"Applications"
"13","Mixed Black Caribbean/White",0.399055715365107,"Applications"
"14","White",1.04473456561473,"Offers"
"21","Arab",0.580463860761792,"Offers"
"31","Bangladeshi",0.297352221737303,"Offers"
"41","Indian",1.25031590055216,"Offers"
"51","Pakistani",0.210723309372659,"Offers"
"71","Black African",0.510679862897971,"Offers"
"81","Black Caribbean",0.338037043375497,"Offers"
"101","Chinese",3.39074051944127,"Offers"
"111","Mixed Asian/White",2.90039173659259,"Offers"
"121","Mixed Black African/White",1.05695909641597,"Offers"
"131","Mixed Black Caribbean/White",0.366357593024077,"Offers"
